# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: srl.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             308   N   0000052c   fe5219e3   0000052e   x05_t0     00000002
             309   N   0000052e   42890eb7   00000532   ---        --------
             311   N   00000532   00004e71   00000536   x29_t4     01000000
             312   N   00000536   1dd19363   00000538   x28_t3     0000001c
             313   N   00000538   00004201   0000053c   ---        --------
             314   N   0000053c   800000b7   0000053e   x04_tp     00000000
             315   N   0000053e   00004139   00000542   x01_ra     80000000
             316   N   00000542   00000001   00000544   x02_sp     0000000e
             317   N   00000544   0020d1b3   00000546   ---        --------
             318   N   00000546   00000205   0000054a   x03_gp     00020000
             319   N   0000054a   00004289   0000054c   x04_tp     00000001
             320   N   0000054c   fe5218e3   0000054e   x05_t0     00000002
             321   N   0000054e   42890eb7   0000053e   ---        --------
             325   N   0000053e   00004139   00000542   x01_ra     80000000
             326   N   00000542   00000001   00000544   x02_sp     0000000e
             327   N   00000544   0020d1b3   00000546   ---        --------
             328   N   00000546   00000205   0000054a   x03_gp     00020000
             329   N   0000054a   00004289   0000054c   x04_tp     00000002
             330   N   0000054c   fe5218e3   0000054e   x05_t0     00000002
             331   N   0000054e   42890eb7   00000552   ---        --------
             333   N   00000552   00004e75   00000556   x29_t4     00020000
             334   N   00000556   1bd19363   00000558   x28_t3     0000001d
             335   N   00000558   00004201   0000055c   ---        --------
             336   N   0000055c   800000b7   0000055e   x04_tp     00000000
             337   N   0000055e   0000417d   00000562   x01_ra     80000000
             338   N   00000562   00000001   00000564   x02_sp     0000001f
             339   N   00000564   00000001   00000566   ---        --------
             340   N   00000566   0020d1b3   00000568   ---        --------
             341   N   00000568   00000205   0000056c   x03_gp     00000001
             342   N   0000056c   00004289   0000056e   x04_tp     00000001
             343   N   0000056e   fe5217e3   00000570   x05_t0     00000002
             344   N   00000570   00004e85   0000055e   ---        --------
             348   N   0000055e   0000417d   00000562   x01_ra     80000000
             349   N   00000562   00000001   00000564   x02_sp     0000001f
             350   N   00000564   00000001   00000566   ---        --------
             351   N   00000566   0020d1b3   00000568   ---        --------
             352   N   00000568   00000205   0000056c   x03_gp     00000001
             353   N   0000056c   00004289   0000056e   x04_tp     00000002
             354   N   0000056e   fe5217e3   00000570   x05_t0     00000002
             355   N   00000570   00004e85   00000574   ---        --------
             356   N   00000574   00004e79   00000576   x29_t4     00000001
             357   N   00000576   19d19363   00000578   x28_t3     0000001e
             358   N   00000578   00004201   0000057c   ---        --------
             359   N   0000057c   800000b7   0000057e   x04_tp     00000000
             360   N   0000057e   00000001   00000582   x01_ra     80000000
             361   N   00000582   0000411d   00000584   ---        --------
             362   N   00000584   0020d1b3   00000586   x02_sp     00000007
             363   N   00000586   00000205   0000058a   x03_gp     01000000
             364   N   0000058a   00004289   0000058c   x04_tp     00000001
             365   N   0000058c   fe5218e3   0000058e   x05_t0     00000002
             366   N   0000058e   42890eb7   0000057e   ---        --------
             370   N   0000057e   00000001   00000582   x01_ra     80000000
             371   N   00000582   0000411d   00000584   ---        --------
             372   N   00000584   0020d1b3   00000586   x02_sp     00000007
             373   N   00000586   00000205   0000058a   x03_gp     01000000
             374   N   0000058a   00004289   0000058c   x04_tp     00000002
             375   N   0000058c   fe5218e3   0000058e   x05_t0     00000002
             376   N   0000058e   42890eb7   00000592   ---        --------
             378   N   00000592   00004e7d   00000596   x29_t4     01000000
             379   N   00000596   17d19363   00000598   x28_t3     0000001f
             380   N   00000598   00004201   0000059c   ---        --------
             381   N   0000059c   800000b7   0000059e   x04_tp     00000000
             382   N   0000059e   00000001   000005a2   x01_ra     80000000
             383   N   000005a2   00004139   000005a4   ---        --------
             384   N   000005a4   00000001   000005a6   x02_sp     0000000e
             385   N   000005a6   0020d1b3   000005a8   ---        --------
             386   N   000005a8   00000205   000005ac   x03_gp     00020000
             387   N   000005ac   00004289   000005ae   x04_tp     00000001
             388   N   000005ae   fe5217e3   000005b0   x05_t0     00000002
             389   N   000005b0   00020eb7   0000059e   ---        --------
             393   N   0000059e   00000001   000005a2   x01_ra     80000000
             394   N   000005a2   00004139   000005a4   ---        --------
             395   N   000005a4   00000001   000005a6   x02_sp     0000000e
             396   N   000005a6   0020d1b3   000005a8   ---        --------
             397   N   000005a8   00000205   000005ac   x03_gp     00020000
             398   N   000005ac   00004289   000005ae   x04_tp     00000002
             399   N   000005ae   fe5217e3   000005b0   x05_t0     00000002
             400   N   000005b0   00020eb7   000005b4   ---        --------
             401   N   000005b4   02000e13   000005b8   x29_t4     00020000
             402   N   000005b8   15d19163   000005bc   x28_t3     00000020
             403   N   000005bc   00004201   000005c0   ---        --------
             404   N   000005c0   800000b7   000005c2   x04_tp     00000000
             405   N   000005c2   00000001   000005c6   x01_ra     80000000
             406   N   000005c6   00000001   000005c8   ---        --------
             407   N   000005c8   0000417d   000005ca   ---        --------
             408   N   000005ca   0020d1b3   000005cc   x02_sp     0000001f
             409   N   000005cc   00000205   000005d0   x03_gp     00000001
             410   N   000005d0   00004289   000005d2   x04_tp     00000001
             411   N   000005d2   fe5217e3   000005d4   x05_t0     00000002
             412   N   000005d4   00004e85   000005c2   ---        --------
             416   N   000005c2   00000001   000005c6   x01_ra     80000000
             417   N   000005c6   00000001   000005c8   ---        --------
             418   N   000005c8   0000417d   000005ca   ---        --------
             419   N   000005ca   0020d1b3   000005cc   x02_sp     0000001f
             420   N   000005cc   00000205   000005d0   x03_gp     00000001
             421   N   000005d0   00004289   000005d2   x04_tp     00000002
             422   N   000005d2   fe5217e3   000005d4   x05_t0     00000002
             423   N   000005d4   00004e85   000005d8   ---        --------
             424   N   000005d8   02100e13   000005da   x29_t4     00000001
             425   N   000005da   4e859063   000005de   x28_t3     00000021
             427   N   000005de   00004201   000005e2   ---        --------
             428   N   000005e2   0000411d   000005e4   x04_tp     00000000
             429   N   000005e4   800000b7   000005e6   x02_sp     00000007
             430   N   000005e6   411dd1b3   000005ea   x01_ra     80000000
             432   N   000005ea   00000205   000005ee   x03_gp     01000000
             433   N   000005ee   00004289   000005f0   x04_tp     00000001
             434   N   000005f0   fe5219e3   000005f2   x05_t0     00000002
             435   N   000005f2   42890eb7   000005e4   ---        --------
             438   N   000005e4   800000b7   000005e6   x02_sp     00000007
             439   N   000005e6   411dd1b3   000005ea   x01_ra     80000000
             441   N   000005ea   00000205   000005ee   x03_gp     01000000
             442   N   000005ee   00004289   000005f0   x04_tp     00000002
             443   N   000005f0   fe5219e3   000005f2   x05_t0     00000002
             444   N   000005f2   42890eb7   000005f6   ---        --------
             446   N   000005f6   fe520e13   000005fa   x29_t4     01000000
             448   N   000005fa   01009063   000005fe   x28_t3     00000022
             450   N   000005fe   00004201   00000602   ---        --------
             451   N   00000602   00004139   00000604   x04_tp     00000000
             452   N   00000604   800000b7   00000606   x02_sp     0000000e
             453   N   00000606   00000001   0000060a   x01_ra     80000000
             454   N   0000060a   0020d1b3   0000060c   ---        --------
             455   N   0000060c   00000205   00000610   x03_gp     00020000
             456   N   00000610   00004289   00000612   x04_tp     00000001
             457   N   00000612   fe5218e3   00000614   x05_t0     00000002
             458   N   00000614   00020eb7   00000604   ---        --------
             461   N   00000604   800000b7   00000606   x02_sp     0000000e
             462   N   00000606   00000001   0000060a   x01_ra     80000000
             463   N   0000060a   0020d1b3   0000060c   ---        --------
             464   N   0000060c   00000205   00000610   x03_gp     00020000
             465   N   00000610   00004289   00000612   x04_tp     00000002
             466   N   00000612   fe5218e3   00000614   x05_t0     00000002
             467   N   00000614   00020eb7   00000618   ---        --------
             468   N   00000618   02300e13   0000061c   x29_t4     00020000
             469   N   0000061c   0dd19f63   00000620   x28_t3     00000023
             470   N   00000620   00004201   00000624   ---        --------
             471   N   00000624   0000417d   00000626   x04_tp     00000000
             472   N   00000626   800000b7   00000628   x02_sp     0000001f
             473   N   00000628   00000001   0000062c   x01_ra     80000000
             474   N   0000062c   00000001   0000062e   ---        --------
             475   N   0000062e   0020d1b3   00000630   ---        --------
             476   N   00000630   00000205   00000634   x03_gp     00000001
             477   N   00000634   00004289   00000636   x04_tp     00000001
             478   N   00000636   fe5217e3   00000638   x05_t0     00000002
             479   N   00000638   00004e85   00000626   ---        --------
             482   N   00000626   800000b7   00000628   x02_sp     0000001f
             483   N   00000628   00000001   0000062c   x01_ra     80000000
             484   N   0000062c   00000001   0000062e   ---        --------
             485   N   0000062e   0020d1b3   00000630   ---        --------
             486   N   00000630   00000205   00000634   x03_gp     00000001
             487   N   00000634   00004289   00000636   x04_tp     00000002
             488   N   00000636   fe5217e3   00000638   x05_t0     00000002
             489   N   00000638   00004e85   0000063c   ---        --------
             490   N   0000063c   02400e13   0000063e   x29_t4     00000001
             491   N   0000063e   4e859e63   00000642   x28_t3     00000024
             493   N   00000642   00004201   00000646   ---        --------
             494   N   00000646   0000411d   00000648   x04_tp     00000000
